"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 14:24:02 MSK 2023","Tue Aug 15 14:24:03 MSK 2023","604","","test_jne","Test_Main_PM_Window","","","Кнопка печать текущего изображения",""
"passed","Tue Aug 15 14:20:20 MSK 2023","Tue Aug 15 14:20:21 MSK 2023","1299","","test_jne","Test_Close_PM_Tray","","","Подтверждение закрытия ПМ",""
"failed","Tue Aug 15 14:36:19 MSK 2023","Tue Aug 15 14:36:49 MSK 2023","30106","","test_jne","Test_buttons_of_photo","","","Водит вышкой для обнаружения кнопок работы с файлом, цикл удаления 6 документов",""
"passed","Tue Aug 15 14:24:20 MSK 2023","Tue Aug 15 14:24:20 MSK 2023","506","","test_jne","Test_Main_PM_Window","","","Окно изображений",""
"passed","Tue Aug 15 14:24:01 MSK 2023","Tue Aug 15 14:24:02 MSK 2023","594","","test_jne","Test_Main_PM_Window","","","Вкладка главная",""
"passed","Tue Aug 15 14:24:46 MSK 2023","Tue Aug 15 14:25:01 MSK 2023","15003","","test_jne","Test_Run_PM_after_reinstall","","","Предупреждения о have not access to server, install regula",""
"passed","Tue Aug 15 14:39:49 MSK 2023","Tue Aug 15 14:42:08 MSK 2023","138866","","","","","","заезд по",""
"passed","Tue Aug 15 14:23:20 MSK 2023","Tue Aug 15 14:23:40 MSK 2023","20402","","test_jne","Test_Run_PM_after_change_ip_in_configurator","","","Главное окно ПМ открыто",""
"passed","Tue Aug 15 14:16:28 MSK 2023","Tue Aug 15 14:17:21 MSK 2023","52672","","test_jne","Test_check_run_configurator_for_check_windows","","","Проверка окон в конфигураторе",""
"passed","Tue Aug 15 14:24:21 MSK 2023","Tue Aug 15 14:24:22 MSK 2023","483","","test_jne","Test_Main_PM_Window","","","Иконка iida",""
"passed","Tue Aug 15 14:32:29 MSK 2023","Tue Aug 15 14:32:35 MSK 2023","5623","","test_jne","Test_check_confirmation_reservations","","","Закрытие вкладки расширенный поиск",""
"passed","Tue Aug 15 14:32:12 MSK 2023","Tue Aug 15 14:32:18 MSK 2023","5991","","test_jne","Test_check_confirmation_reservations","","","Поиск пункта Confirmation",""
"passed","Tue Aug 15 14:26:41 MSK 2023","Tue Aug 15 14:27:04 MSK 2023","22488","","test_jne","Test_Run_PM_after_reinstall","","","Главное окно ПМ открыто",""
"passed","Tue Aug 15 14:28:15 MSK 2023","Tue Aug 15 14:28:20 MSK 2023","5600","","test_jne","Test_find_gray_reservation","","","Поиск серой брони",""
"passed","Tue Aug 15 14:30:28 MSK 2023","Tue Aug 15 14:30:34 MSK 2023","5614","","test_jne","Test_check_confirmation_reservations","","","Закрытие вкладки расширенный поиск",""
"passed","Tue Aug 15 14:24:18 MSK 2023","Tue Aug 15 14:24:18 MSK 2023","524","","test_jne","Test_Main_PM_Window","","","Заголовок Брони",""
"passed","Tue Aug 15 14:18:02 MSK 2023","Tue Aug 15 14:18:04 MSK 2023","1666","","test_jne","Test_change_ip_configurator","","","Поле ip в конфигураторе",""
"passed","Tue Aug 15 14:30:11 MSK 2023","Tue Aug 15 14:30:17 MSK 2023","5849","","test_jne","Test_check_confirmation_reservations","","","Поиск пункта Confirmation",""
"passed","Tue Aug 15 14:30:05 MSK 2023","Tue Aug 15 14:30:11 MSK 2023","5647","","test_jne","Test_check_confirmation_reservations","","","Проверка подтвержденных броней",""
"passed","Tue Aug 15 14:24:03 MSK 2023","Tue Aug 15 14:24:03 MSK 2023","533","","test_jne","Test_Main_PM_Window","","","Кнопка открыть из файла",""
"passed","Tue Aug 15 14:33:12 MSK 2023","Tue Aug 15 14:33:49 MSK 2023","36174","","test_jne","Test_open_foto_passport","","","Ждем пока загрузятся фото в ПМ",""
"passed","Tue Aug 15 14:37:10 MSK 2023","Tue Aug 15 14:39:49 MSK 2023","159107","","test_jne","Test_for_fields","","","Заезд с",""
"passed","Tue Aug 15 14:24:19 MSK 2023","Tue Aug 15 14:24:20 MSK 2023","572","","test_jne","Test_Main_PM_Window","","","Окно броней",""
"passed","Tue Aug 15 14:18:00 MSK 2023","Tue Aug 15 14:18:01 MSK 2023","746","","test_jne","Test_change_ip_configurator","","","Иконка part_hotel",""
"passed","Tue Aug 15 14:24:16 MSK 2023","Tue Aug 15 14:24:17 MSK 2023","593","","test_jne","Test_Main_PM_Window","","","Кнопка import_to",""
"passed","Tue Aug 15 14:24:04 MSK 2023","Tue Aug 15 14:24:05 MSK 2023","543","","test_jne","Test_Main_PM_Window","","","Кнопка Zoom",""
"passed","Tue Aug 15 14:17:21 MSK 2023","Tue Aug 15 14:17:22 MSK 2023","617","","test_jne","Test_check_run_configurator_for_check_windows","","","Вкладка Exports",""
"passed","Tue Aug 15 14:32:00 MSK 2023","Tue Aug 15 14:32:06 MSK 2023","5689","","test_jne","Test_check_confirmation_reservations","","","test_click_search",""
"passed","Tue Aug 15 14:24:17 MSK 2023","Tue Aug 15 14:24:17 MSK 2023","618","","test_jne","Test_Main_PM_Window","","","Кнопка минимайз",""
"passed","Tue Aug 15 14:30:17 MSK 2023","Tue Aug 15 14:30:28 MSK 2023","11225","","test_jne","Test_check_confirmation_reservations","","","Поиск выпадающиего списка Confirmation",""
"passed","Tue Aug 15 14:17:28 MSK 2023","Tue Aug 15 14:17:29 MSK 2023","684","","test_jne","Test_check_run_configurator_for_check_windows","","","Развернуть station settings",""
